level,tenth_marks,twelfth_marks,stream,aptitude,communication,target
12th,55,81,Biology,67,58,BDS
12th,84,97,Commerce,81,51,CA Foundation
12th,58,94,Commerce,95,85,BA Economics
12th,88,69,Commerce,84,63,BBA
12th,94,96,Biology,85,90,BDS
12th,69,59,Biology,60,56,B.Sc Nursing
12th,77,87,Maths,55,65,Mechanical Engineering
12th,77,57,Biology,52,63,B.Sc Nursing
12th,61,71,Maths,54,79,Civil Engineering
12th,80,75,Biology,56,70,MBBS
12th,59,69,Maths,84,63,Mechanical Engineering
12th,69,93,Biology,82,77,BDS
12th,61,57,Biology,64,92,B.Sc Nursing
12th,58,98,Maths,61,55,B.E CSE
12th,58,83,Commerce,78,96,BBA
12th,80,81,Commerce,65,97,B.Com
12th,81,55,Commerce,50,81,BBA
12th,100,64,Commerce,76,100,B.Com
12th,72,77,Commerce,83,63,BA Economics
12th,56,82,Biology,64,61,B.Pharm
12th,68,92,Maths,75,56,Mechanical Engineering
12th,85,80,Commerce,56,57,BBA
12th,87,58,Biology,100,83,BDS
12th,87,92,Commerce,89,54,BBA
12th,68,95,Commerce,97,66,B.Com
12th,81,67,Biology,95,58,B.Pharm
12th,81,70,Maths,69,52,Civil Engineering
12th,92,77,Commerce,90,96,B.Com
12th,98,79,Commerce,56,80,CA Foundation
12th,75,66,Commerce,64,84,BBA
12th,71,61,Maths,73,69,B.Tech IT
12th,84,84,Commerce,80,95,CA Foundation
12th,78,94,Maths,69,63,Civil Engineering
12th,68,89,Commerce,51,70,BA Economics
12th,62,61,Biology,54,88,BDS
12th,77,94,Commerce,76,55,B.Com
12th,92,96,Commerce,87,56,B.Com
12th,84,67,Maths,64,51,B.E CSE
12th,97,66,Commerce,58,72,B.Com
12th,71,76,Commerce,77,60,B.Com
12th,60,69,Biology,72,91,B.Sc Nursing
12th,78,75,Commerce,72,100,B.Com
12th,63,88,Maths,82,59,B.E CSE
12th,74,65,Biology,84,85,B.Sc Nursing
12th,73,59,Maths,87,64,Civil Engineering
12th,94,88,Commerce,71,79,BBA
12th,82,80,Biology,51,76,B.Sc Nursing
12th,89,87,Maths,74,86,Civil Engineering
12th,80,64,Commerce,54,72,B.Com
12th,70,67,Biology,69,90,MBBS
12th,66,67,Commerce,67,65,CA Foundation
12th,89,75,Commerce,67,96,BA Economics
12th,94,80,Biology,79,86,MBBS
12th,57,100,Maths,72,96,Mechanical Engineering
12th,98,100,Commerce,79,51,CA Foundation
12th,96,70,Commerce,71,70,BA Economics
12th,95,70,Commerce,82,97,CA Foundation
12th,62,76,Commerce,61,61,CA Foundation
12th,98,57,Biology,96,100,MBBS
12th,89,77,Maths,82,70,Mechanical Engineering
12th,98,86,Maths,72,74,B.E CSE
12th,59,59,Biology,82,88,MBBS
12th,92,82,Commerce,73,65,B.Com
12th,98,62,Biology,97,50,B.Pharm
12th,92,62,Biology,94,83,BDS
12th,68,56,Commerce,56,69,BBA
12th,100,68,Biology,69,59,B.Pharm
12th,57,100,Commerce,95,70,BA Economics
12th,97,77,Maths,54,93,B.E CSE
12th,94,75,Maths,56,52,B.E CSE
12th,56,80,Commerce,78,75,BBA
12th,92,76,Maths,66,65,B.Tech IT
12th,57,83,Commerce,74,57,B.Com
12th,63,55,Biology,81,64,B.Sc Nursing
12th,80,78,Biology,54,68,B.Pharm
12th,83,85,Maths,54,91,B.Tech IT
12th,85,58,Biology,72,88,BDS
12th,89,100,Commerce,78,73,CA Foundation
12th,99,93,Biology,80,54,B.Pharm
12th,74,90,Maths,87,62,Civil Engineering
12th,93,73,Biology,93,53,BDS
12th,78,80,Maths,67,96,B.Tech IT
12th,69,67,Biology,81,94,B.Pharm
12th,83,81,Maths,69,84,Mechanical Engineering
12th,59,68,Biology,94,69,MBBS
12th,98,77,Biology,91,96,B.Pharm
12th,60,75,Maths,60,78,Civil Engineering
12th,100,77,Commerce,79,64,CA Foundation
12th,86,65,Commerce,54,52,BA Economics
12th,63,95,Biology,58,75,B.Pharm
12th,83,89,Maths,100,50,Civil Engineering
12th,82,92,Commerce,57,56,CA Foundation
12th,55,84,Commerce,53,85,BA Economics
12th,77,75,Commerce,66,58,BA Economics
12th,87,92,Commerce,53,64,BA Economics
12th,69,88,Commerce,84,77,CA Foundation
12th,99,89,Biology,95,64,MBBS
12th,91,73,Biology,54,62,B.Pharm
12th,93,64,Biology,55,96,B.Sc Nursing
12th,75,62,Biology,52,82,B.Pharm
12th,65,68,Biology,85,85,B.Sc Nursing
12th,62,59,Biology,86,64,B.Pharm
12th,84,90,Commerce,77,53,B.Com
12th,89,88,Maths,79,60,Mechanical Engineering
12th,76,85,Biology,73,98,MBBS
12th,99,97,Biology,57,57,B.Pharm
12th,55,63,Commerce,52,94,BBA
12th,60,67,Biology,63,92,BDS
12th,66,87,Biology,91,64,B.Sc Nursing
12th,79,81,Commerce,92,90,CA Foundation
12th,87,98,Commerce,63,86,CA Foundation
12th,91,61,Commerce,51,96,BBA
12th,65,79,Biology,78,67,BDS
12th,78,69,Maths,73,54,Mechanical Engineering
12th,81,87,Biology,87,92,MBBS
12th,91,93,Commerce,79,67,CA Foundation
12th,72,91,Maths,61,83,Civil Engineering
12th,68,89,Maths,96,63,B.E CSE
12th,90,96,Commerce,91,78,BBA
12th,81,73,Maths,52,58,Mechanical Engineering
12th,61,66,Biology,71,52,BDS
12th,58,68,Biology,84,66,MBBS
12th,80,96,Commerce,92,88,BBA
12th,74,57,Maths,86,65,B.Tech IT
12th,86,84,Commerce,72,64,CA Foundation
12th,80,67,Maths,83,81,B.Tech IT
12th,67,85,Commerce,94,100,B.Com
12th,73,64,Maths,89,66,B.E CSE
12th,62,61,Biology,64,72,BDS
12th,74,55,Biology,91,63,B.Sc Nursing
12th,87,71,Biology,84,62,MBBS
12th,94,63,Maths,62,88,Civil Engineering
12th,81,87,Biology,97,96,B.Sc Nursing
12th,75,76,Maths,66,59,Civil Engineering
12th,62,68,Biology,56,75,B.Sc Nursing
12th,94,99,Maths,68,94,B.Tech IT
12th,100,73,Maths,60,92,Civil Engineering
12th,59,58,Biology,87,74,MBBS
12th,76,93,Maths,74,81,Mechanical Engineering
12th,70,75,Biology,64,95,MBBS
12th,62,55,Biology,100,74,BDS
12th,100,92,Maths,62,74,B.Tech IT
12th,85,78,Biology,90,88,BDS
12th,57,79,Maths,55,68,B.E CSE
12th,86,63,Commerce,65,55,BBA
12th,86,79,Commerce,84,63,BA Economics
12th,58,90,Biology,95,87,B.Pharm
12th,95,88,Maths,91,78,B.E CSE
12th,89,58,Commerce,62,100,BBA
12th,79,70,Biology,56,68,BDS
12th,93,69,Maths,54,62,Civil Engineering
12th,99,93,Biology,72,77,B.Pharm
12th,71,67,Commerce,82,96,BA Economics
12th,73,55,Biology,74,95,B.Sc Nursing
12th,98,80,Biology,88,94,B.Sc Nursing
12th,93,61,Commerce,92,64,BA Economics
12th,89,70,Maths,57,91,B.E CSE
12th,58,70,Commerce,71,83,CA Foundation
12th,71,78,Commerce,91,72,BA Economics
12th,73,98,Biology,76,94,B.Pharm
12th,91,66,Commerce,77,68,BBA
12th,74,80,Biology,79,97,BDS
12th,71,100,Biology,63,67,B.Pharm
12th,95,66,Maths,97,71,Mechanical Engineering
12th,86,57,Commerce,78,81,B.Com
12th,83,57,Biology,88,75,BDS
12th,83,89,Commerce,80,79,BA Economics
12th,87,62,Biology,72,99,B.Sc Nursing
12th,74,85,Biology,57,52,B.Pharm
12th,63,56,Biology,53,98,MBBS
12th,99,88,Biology,90,90,BDS
12th,88,71,Commerce,90,65,CA Foundation
12th,57,64,Biology,97,83,BDS
12th,71,68,Biology,65,93,BDS
12th,84,58,Biology,80,69,MBBS
12th,67,70,Biology,94,51,MBBS
12th,94,94,Commerce,74,69,CA Foundation
12th,82,60,Maths,94,81,Mechanical Engineering
12th,85,78,Maths,72,91,B.E CSE
12th,68,58,Biology,70,62,B.Sc Nursing
12th,67,73,Commerce,67,63,BBA
12th,98,83,Biology,90,97,MBBS
12th,67,65,Commerce,79,69,CA Foundation
12th,94,80,Biology,87,88,B.Pharm
12th,83,88,Biology,53,73,BDS
12th,60,72,Commerce,98,92,BBA
12th,98,90,Commerce,91,63,B.Com
12th,58,58,Biology,61,55,BDS
12th,68,96,Maths,89,81,Mechanical Engineering
12th,70,79,Biology,98,51,MBBS
12th,75,80,Biology,95,70,B.Pharm
12th,60,63,Biology,58,61,B.Pharm
12th,59,60,Maths,70,84,B.E CSE
12th,97,76,Maths,71,78,B.Tech IT
12th,63,93,Biology,55,60,BDS
12th,91,91,Biology,72,100,B.Pharm
12th,76,57,Maths,53,87,Mechanical Engineering
12th,60,62,Commerce,59,82,BBA
12th,87,97,Biology,54,71,MBBS
12th,77,70,Maths,54,57,B.Tech IT
12th,86,98,Commerce,62,75,CA Foundation
12th,94,89,Maths,86,97,Civil Engineering
12th,59,63,Commerce,58,72,BA Economics
12th,77,68,Biology,62,61,B.Pharm
12th,89,89,Biology,54,67,B.Sc Nursing
12th,62,89,Commerce,61,72,B.Com
12th,68,88,Maths,85,63,Mechanical Engineering
12th,89,55,Biology,90,53,MBBS
12th,91,94,Commerce,60,93,B.Com
12th,61,85,Maths,59,76,Mechanical Engineering
12th,98,66,Biology,79,69,B.Pharm
12th,99,62,Commerce,81,50,BBA
12th,72,72,Biology,54,81,B.Sc Nursing
12th,60,76,Maths,86,56,Civil Engineering
12th,95,63,Biology,58,59,B.Sc Nursing
12th,68,74,Biology,78,61,BDS
12th,68,92,Maths,76,55,Civil Engineering
12th,70,72,Maths,91,58,Civil Engineering
12th,65,69,Commerce,81,63,BBA
12th,70,67,Commerce,61,67,CA Foundation
12th,95,94,Biology,91,75,B.Sc Nursing
12th,72,75,Biology,69,89,BDS
12th,71,99,Commerce,99,76,BA Economics
12th,88,62,Biology,91,60,MBBS
12th,63,82,Maths,65,60,B.E CSE
12th,69,71,Commerce,61,74,CA Foundation
12th,95,89,Maths,88,98,B.E CSE
12th,90,72,Maths,53,63,Civil Engineering
12th,84,79,Commerce,100,95,CA Foundation
12th,63,92,Maths,62,59,B.Tech IT
12th,78,68,Commerce,86,57,B.Com
12th,86,96,Biology,82,58,MBBS
12th,61,81,Maths,92,57,B.Tech IT
12th,56,97,Commerce,90,83,BA Economics
12th,99,81,Maths,93,63,Civil Engineering
12th,65,79,Commerce,99,89,CA Foundation
12th,83,59,Commerce,56,69,BA Economics
12th,95,73,Commerce,51,90,BA Economics
12th,63,89,Biology,60,50,BDS
12th,72,93,Biology,54,92,BDS
12th,81,73,Biology,67,100,MBBS
12th,75,100,Maths,61,88,Civil Engineering
12th,85,83,Commerce,76,100,B.Com
12th,71,66,Biology,81,98,B.Pharm
12th,62,84,Maths,94,74,B.Tech IT
12th,63,76,Commerce,89,77,B.Com
12th,65,61,Maths,59,99,Civil Engineering
12th,81,84,Commerce,64,86,CA Foundation
12th,74,96,Maths,99,74,Civil Engineering
12th,95,96,Biology,58,99,B.Sc Nursing
12th,84,84,Biology,66,96,B.Sc Nursing
12th,94,66,Biology,78,88,B.Pharm
12th,63,65,Maths,94,80,B.Tech IT
12th,71,56,Maths,53,94,Civil Engineering
12th,91,99,Biology,69,51,BDS
12th,92,80,Biology,85,80,BDS
12th,74,84,Maths,85,97,Civil Engineering
12th,67,66,Commerce,95,82,CA Foundation
12th,75,88,Biology,84,71,B.Pharm
12th,73,86,Maths,97,57,Civil Engineering
12th,65,100,Maths,84,52,Mechanical Engineering
12th,70,88,Biology,93,69,BDS
12th,56,68,Biology,77,73,MBBS
12th,92,77,Biology,68,60,MBBS
12th,57,100,Commerce,89,96,CA Foundation
12th,65,71,Maths,82,65,Civil Engineering
12th,79,56,Biology,56,90,B.Pharm
12th,77,79,Commerce,98,58,BA Economics
12th,99,85,Commerce,77,99,B.Com
12th,69,61,Commerce,73,79,B.Com
12th,97,69,Biology,76,95,MBBS
12th,65,83,Commerce,100,53,CA Foundation
12th,55,67,Biology,95,81,B.Pharm
12th,58,75,Maths,73,95,B.E CSE
12th,78,86,Commerce,75,80,B.Com
12th,81,83,Maths,83,94,B.E CSE
12th,96,90,Biology,73,70,BDS
12th,55,59,Commerce,56,75,B.Com
12th,77,59,Biology,66,88,B.Pharm
12th,77,78,Biology,95,74,BDS
12th,71,100,Maths,77,92,B.E CSE
12th,80,67,Commerce,79,55,CA Foundation
12th,83,86,Commerce,93,62,BA Economics
12th,85,78,Biology,93,100,B.Sc Nursing
12th,78,69,Commerce,62,98,B.Com
12th,87,93,Commerce,60,70,CA Foundation
12th,59,75,Maths,93,96,Mechanical Engineering
12th,86,86,Biology,90,74,B.Pharm
12th,78,81,Maths,100,77,B.Tech IT
12th,58,70,Commerce,95,50,BA Economics
12th,98,80,Commerce,93,98,BBA
12th,71,80,Commerce,66,98,BBA
12th,81,80,Maths,89,57,B.E CSE
12th,75,78,Biology,55,69,MBBS
12th,97,57,Maths,97,71,B.Tech IT
12th,60,76,Maths,74,84,B.Tech IT
12th,59,85,Commerce,60,59,BA Economics
12th,70,58,Maths,84,59,Civil Engineering
12th,91,70,Commerce,84,98,BBA
12th,65,92,Biology,77,100,MBBS
12th,85,75,Commerce,84,72,CA Foundation
12th,85,80,Maths,58,61,B.Tech IT
12th,58,65,Commerce,71,71,CA Foundation
12th,95,68,Biology,80,98,B.Sc Nursing
12th,60,58,Maths,74,99,B.E CSE
12th,82,99,Biology,97,58,MBBS
12th,68,92,Commerce,94,73,CA Foundation
12th,68,75,Commerce,66,75,CA Foundation
12th,75,95,Commerce,68,64,BBA
12th,60,75,Biology,55,62,B.Pharm
12th,60,75,Biology,76,54,B.Sc Nursing
12th,98,92,Commerce,84,67,BA Economics
12th,61,79,Commerce,52,71,BBA
12th,85,62,Biology,66,66,BDS
12th,92,55,Maths,96,64,Civil Engineering
12th,98,64,Maths,81,90,B.E CSE
12th,82,75,Biology,51,59,B.Sc Nursing
12th,82,58,Biology,96,71,MBBS
12th,56,95,Maths,52,96,B.E CSE
12th,68,67,Maths,72,83,Civil Engineering
12th,56,74,Maths,76,84,B.E CSE
12th,85,82,Biology,63,92,B.Pharm
12th,83,90,Maths,64,88,Mechanical Engineering
12th,86,95,Commerce,71,76,BBA
12th,70,100,Maths,87,97,B.E CSE
12th,60,92,Commerce,59,94,BBA
12th,64,89,Commerce,82,74,BA Economics
12th,88,72,Maths,84,88,B.E CSE
12th,78,73,Maths,71,82,B.Tech IT
12th,82,72,Biology,50,58,MBBS
12th,72,64,Biology,89,60,MBBS
12th,78,96,Maths,63,61,Mechanical Engineering
12th,85,96,Commerce,86,59,BA Economics
12th,78,59,Maths,96,84,B.Tech IT
12th,94,84,Maths,67,68,B.Tech IT
12th,69,96,Commerce,65,71,BA Economics
12th,94,73,Biology,56,59,B.Pharm
12th,64,95,Maths,61,70,B.E CSE
12th,84,74,Commerce,85,97,BA Economics
12th,66,89,Biology,66,93,BDS
12th,99,98,Commerce,97,93,CA Foundation
12th,63,100,Commerce,76,51,BBA
12th,64,87,Commerce,98,96,CA Foundation
12th,83,72,Maths,57,58,B.E CSE
12th,74,59,Maths,100,50,Civil Engineering
12th,71,83,Commerce,82,70,CA Foundation
12th,79,98,Maths,78,52,Civil Engineering
12th,91,86,Maths,55,50,Mechanical Engineering
12th,90,99,Commerce,89,79,BBA
12th,68,90,Commerce,93,68,BA Economics
12th,67,96,Commerce,73,95,BBA
12th,92,57,Maths,71,83,B.E CSE
12th,75,56,Maths,62,81,Civil Engineering
12th,71,98,Maths,53,52,Civil Engineering
12th,60,82,Maths,55,55,B.E CSE
12th,67,75,Commerce,73,53,BBA
12th,82,82,Biology,56,54,B.Pharm
12th,96,93,Commerce,57,83,BBA
12th,71,87,Biology,70,72,B.Sc Nursing
12th,74,76,Commerce,73,50,BA Economics
12th,71,74,Biology,74,76,B.Pharm
12th,90,92,Commerce,70,53,BA Economics
12th,70,97,Maths,97,54,B.Tech IT
12th,96,78,Biology,55,78,B.Pharm
12th,65,100,Maths,74,79,Mechanical Engineering
12th,87,93,Commerce,92,76,BA Economics
12th,76,71,Biology,56,78,B.Pharm
12th,59,63,Commerce,83,79,BBA
12th,69,58,Maths,94,67,Mechanical Engineering
12th,76,89,Maths,92,93,B.E CSE
